license,breed,color,name,zip,expiry,created_at,updated_at
Dog Lifetime Spayed Female,LAB MIX,BLACK,ABBY,15122,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,SFT COAT WHEAT TERR,WHEATON,TEDDY,15236,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,COCKER SPANIEL,BLACK,CHLOE,15014,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,PARSON RUSSELL TERR,WHITE/BROWN,JACK,15144,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Spayed Female,MALTESE,WHITE,MOLLI,15137,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,MIXED,WHITE/BLACK/BROWN,MEADOW,15122,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Inter County Transfer - Lifetime,MIXED,WHITE/BLACK/BROWN,MEADOW,15236,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,YELLOW,SYDNEY,15202,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,AM ESKIMO DOG,WHITE,KINA,15120,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Spayed Female,AM ESKIMO DOG,WHITE,KINA,15120,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,YELLOW,LINUS,15146,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,TAN,SCOUT,15146,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,CHIHUAHUA,WHITE/BROWN,BRUISEE,15037,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,GER SHEPHERD,BLACK/TAN,PELLA,15037,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Spayed Female,POODLE TOY,APRICOT,SASHA,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BLACK,BEAR,15147,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,SHETLAND SHEEPDOG,WHITE/BLACK/BROWN,TOBY GERMAN,15025,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,BOXER,BRINDLE,BETTIS,15209,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,HAVANESE,SABLE,LILY,15102,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,GER SHORTHAIR POINT,WHITE/LIVER,PEPPER,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,MALTESE MIX,BLACK/TAN,BECKA,15146,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,BEAGLE,WHITE/BLACK/BROWN,NEWT,15044,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,GER SHORTHAIR POINT,SPOTTED,SPARKLES,15148,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BROWN,REESE,15220,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,COTON DE TULEAR,SPOTTED,PEKO,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Duplicate,VIZSLA,GOLD/RED,Ginger,15142,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Duplicate,BEAGLE,MULTI,SNICKERS,15129,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Duplicate,BOXER,WHITE/FAWN,HALEY,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Spayed Female,GREYHOUND,BRINDLE,PINOCCHIO,15144,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Out of County Transfer - Lifetime,GOLDEN RETRIEVER,GOLD,SIERRA,15146,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,AUS SHEPHERD,BLACK,JOEY,15075,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,PAPILLON,SABLE,DEWEY,15236,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,CAIRN TERRIER,BRINDLE,CHASE,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Neutered Male,SCHNOODLE,WHITE,KEOKI,15236,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Spayed Female,AM PIT BULL TERRIER,WHITE/BLACK,PHANTOM,15120,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,BASSET HOUND MIX,BLACK,TRAVIS,15133,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,TAG,BLACK/BROWN,BETTY,15212,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,SHETLAND SHEEPDOG,WHITE/RED,KEISHA,15227,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,GER SHEPHERD MIX,WHITE/BLACK/BROWN,MURRAY,15239,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,GOLDEN RETRIEVER,GOLD,LOGAN,15239,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,GER SHEPHERD,BLACK/TAN,CEASAR,15133,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Female,DOBERMAN PINSCHER,BLACK/BROWN,CANDY,15147,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BLACK,BELLA,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,BEAGLE MIX,WHITE/BLACK/BROWN,LADY,15147,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,MALTESE MIX,WHITE,JOEY,15228,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,SILKY TERRIER,GREY,LEXI,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Female,CHIHUAHUA,BLACK/BROWN,BELLA,15101,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,POMERANIAN,GOLD,KODY,15102,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,COLLIE MIX,WHITE/BLACK,ABBEY,15236,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,AM PIT BULL TERRIER,WHITE/BLACK,CHEVELLE,15135,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,PARSON RUSSELL TERR,SPOTTED,BUTTONS,15090,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,PEEKAPOO,BLACK,TAZ,15238,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Neutered Male,PEEKAPOO,BLACK,TAZ,15238,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BROWN,CALLIE,15223,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,LAB MIX,BLACK,OTTO,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,CHIHUAHUA,RED,SOPHIE,15239,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,CHIHUAHUA,BLONDE,PRAIRIE,15239,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,PAPILLON,WHITE/BLACK,KIRBY,15239,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,PAPILLON,WHITE/RED,DENNIS,15239,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,BEAGLE,WHITE/BLACK/BROWN,SOPHIE,15116,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,BOXER,BRINDLE,DUKE,15049,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,GOLDEN RETRIEVER,GOLD/RED,RUPERT,15101,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,COCKAPOO,WHITE/BROWN,CARA MIA,15236,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,POODLE STANDARD,BLACK,TOBY,15122,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,POODLE STANDARD,CREAM,BAILY,15122,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,DOBERMAN PINSCHER,BLACK/TAN,MIA GRACE,15132,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,PUG,BROWN,ISABEL,15120,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,BOXER,FAWN,BELLA,15147,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Spayed Female,LABRADOR RETRIEVER,GOLD,ABBEY,15202,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,BEAGLE MIX,BROWN,HARLEY,15034,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,GOLDEN RETRIEVER,GOLD,CODY,15241,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,TAG,WHITE/BLACK/BROWN,BODIE,15215,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Male,SAMOYED,WHITE,WOLFGANG,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,DOBERMAN PINSCHER,BLACK/TAN,MURPHY,15102,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Neutered Male,DOBERMAN PINSCHER,BLACK/TAN,MURPHY,15102,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,GER SHEPHERD MIX,BLACK,BARRON,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,COCKAPOO,WHITE/BLACK,SYDNEY,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,LAB MIX,BLACK,JACK,15227,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Neutered Male,SHIH TZU,BUFF,MAX,15132,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,ENG SPRINGER SPANIE,SPOTTED,MAGOO,15238,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,TAG,WHITE/BLACK/BROWN,FIONA,15108,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,GER SHEPHERD MIX,BLACK/BROWN,COPPER,15243,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,DOBERMAN PINSCHER,BLUE,CRAZY,15068,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,DOBERMAN PINSCHER,BLACK/BROWN,PRINCESS,15068,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,MASTIFF,APRICOT,CHARLIE,15238,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,GOLDEN RETRIEVER,GOLD,OAKLEY,15090,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,MIXED,BLACK/TAN,BELLE,15101,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,MIXED,BROWN,BISCUIT,15101,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,CAIRN TERRIER,BRINDLE,MISTY BELLE SAKOWITZ,15102,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,YELLOW,STELLA,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,GREAT DANE,WHITE/BLACK/GREY,ZUGI STARDUST BELINI,15024,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,BEAGLE MIX,WHITE/BLACK/BROWN,MAXXIMUS BUZE,15068,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,LAB MIX,BLACK,LIZZIE,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Spayed Female,PAPILLON,WHITE/BLACK/BROWN,DAISY,15122,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,DOBERMAN PINSCHER,BLACK/TAN,TOBY,15220,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,LAB MIX,RED,BUSTER,15146,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Neutered Male,LAB MIX,RED,BUSTER,15146,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Neutered Male,AM PITT BULL MIX,BRINDLE,ZEUS,15146,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,MIXED,BLACK/BROWN,MAPLE,15044,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,ST BERNARD,MULTI,ROSIE,15136,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,ST BERNARD,MULTI,MYA,15136,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,BEAGLE,WHITE/BLACK/BROWN,DAISY,15037,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Neutered Male,SHIH TZU,WHITE/BLACK,RAGGS MILLER,15137,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,BEAGLE,WHITE,HEIDI,15122,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,PARSON RUSSELL TERR,WHITE/BLACK,ROCKY CONROY,15065,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Spayed Female,POODLE STANDARD,BLACK,BITSY,15135,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Neutered Male,COCKAPOO,BUFF,ROCCO,15239,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,TAG,YELLOW,ARCHIE,15131,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,YORKSHIRE TERR MIX,BROWN,REX,15102,2099,8/12/2023 12:42,8/12/2023 12:42
